Account Name,Salesforce Account Name
Pharmacia AB/Phadia,Pharmacia AB/Phadia
PHB Die Casting,PHB Die Casting
Phillips and Temro,Phillips and Temro
Pinova,Pinova
Pittsburg Glass Works,Pittsburg Glass Works
Plasan North America,Plasan North America
PlyGem,PlyGem
Polycom ,Polycom 
Port Townsend Paper Corp,Port Townsend Paper Corp
Premier Farnell,Premier Farnell
Professional Compounding Centers of America Ltd,Professional Compounding Centers of America Ltd
"Propak Logistics, Inc","Propak Logistics, Inc"
"Provident Fund Associates, LP","Provident Fund Associates, LP"
Puffer Sweiven,Puffer Sweiven
Quadrant/ Mitsubishi Chemicals,Quadrant/ Mitsubishi Chemicals
Quality Edge Co,Quality Edge Co
"Recreational Equipment, Inc. (REI) Webforms Only - EDI PERs handled by Tushar on the US Team","Recreational Equipment, Inc. (REI) Webforms Only - EDI PERs handled by Tushar on the US Team"
Rent-A-Center Franchising,Rent-A-Center Franchising
Republican Paperboard,Republican Paperboard
Resideo Technologies,Resideo Technologies
Riceland,Riceland
Rio Farms,Rio Farms
"RJ Reynolds (""plain/aluminum - if Tobacco - goes to Kurt on US Team)","RJ Reynolds (""plain/aluminum - if Tobacco - goes to Kurt on US Team)"
Roots Canada,Roots Canada
SAIA Motor Freight,SAIA Motor Freight
"Saint Gobain Technical Fabrics, Inc","Saint Gobain Technical Fabrics, Inc"
Saint Gobian Containers,Saint Gobian Containers
Saint- Gobain CIO,Saint- Gobain CIO
Sandoz,Sandoz
Sanofi,Sanofi
Sanofi NA Pharmacy,Sanofi NA Pharmacy
Schluter,Schluter
Sealing Devices Inc,Sealing Devices Inc
Seiko Instruments Inc,Seiko Instruments Inc
Sheetz,Sheetz
Shepherd Neame,Shepherd Neame
Shure,Shure
Sigma Aldrich ,Sigma Aldrich 
Silgan Plastic Corp.,Silgan Plastic Corp.
Silicon Labarotories,Silicon Labarotories
Silver Spoon,Silver Spoon
Silver Spoon a division of British Sugar Plc,Silver Spoon a division of British Sugar Plc
Smart Health,Smart Health
"Sonoco Corrflex, LLC","Sonoco Corrflex, LLC"
Sophos,Sophos
Southern Prosthetic Supply Chain,Southern Prosthetic Supply Chain
St John Knits Inc,St John Knits Inc
State Industrial Products Corp,State Industrial Products Corp
Studex U S A Inc,Studex U S A Inc
Sybron Dental Specialities Inc,Sybron Dental Specialities Inc
Systematic Fluid Power,Systematic Fluid Power
Talus Manufacturing,Talus Manufacturing
Tecumseh,Tecumseh
Tesla Motors,Tesla Motors
Tex Decor,Tex Decor
The Siemon Company,The Siemon Company
TNT MARKETING INC,TNT MARKETING INC
Top Hits Inc,Top Hits Inc
Toto,Toto
Toyota Material Handling Europe AB,Toyota Material Handling Europe AB
Toyota TMMNA,Toyota TMMNA
Tupy,Tupy
Turtle Wax-System Integration Architects - SSP,Turtle Wax-System Integration Architects - SSP
Twin Disc,Twin Disc
U GIE IRIS (Système U),U GIE IRIS (Système U)
Ubaldi,Ubaldi
Unimin Corporation,Unimin Corporation
Unipath - Alere,Unipath - Alere
United Airlines,United Airlines
Univar North America Corporation - CaaS,Univar North America Corporation - CaaS
Upstate Milk Cooperatives Inc,Upstate Milk Cooperatives Inc
US Pumice,US Pumice
USS-Posco,USS-Posco
Valmet,Valmet
Veam,Veam
VinFast,VinFast
Vista Industrial Packaging,Vista Industrial Packaging
West Groupe,West Groupe
WGI Manufacturing,WGI Manufacturing
Windstream Communications,Windstream Communications
"Xerox Capital Services, LLC","Xerox Capital Services, LLC"
Zero Chaos,Zero Chaos
